product_name,Ram,New_back_camera,battery,Internal_storage,display,rating,price
"Vivo Y81 (Gold, 32 GB)",3,13,3260,32,6.1,4.4,11500
Forme Turbo1,12,1,1800,15,1.8,5,899
Blackberry Curve 9320 (Blue),512,3,1450,32,2.44,3.3,8999
"Comio S1 4G (Sunrise Gold, 32 GB)",2,13,2700,32,5.2,3.9,8295
"Samsung Galaxy A30s (Prism Crush Violet, 128 GB)",4,25,4000,128,6.4,4.3,16990
"InFocus Turbo 5 Plus (Royal Gold, 32 GB)",3,13,4850,32,5.5,3.8,9500
"Samsung Galaxy J6 (Blue, 32 GB)",3,13,3000,32,5.6,4.4,12990
"LG W30 Plus (Aurora Green, 64 GB)",4,16,4000,64,6.26,3.5,12990
"Nokia 3.1 Plus (Charcoal, 32 GB)",3,13,3500,32,6,4.2,13000
Tymes Y331,32,1,1000,32,1.8,3.4,651
"OPPO A83 (Champagne, 16 GB)",2,13,3180,16,5.7,4.2,11000
"Honor 9N (Robin Egg Blue, 32 GB)",3,13,3000,32,5.84,4.4,12500
"Samsung Galaxy J7 Nxt (Gold, 32 GB)",3,13,3000,32,5.5,4.3,12000
"Honor 9N (Robin Egg Blue, 64 GB)",4,13,3000,64,5.84,4.3,14500
"Honor 9N (Purple, 64 GB)",4,13,3000,64,5.84,4.3,14500
"Vivo V9 (Gold, 64 GB)",4,16,3260,64,6.3,4.5,24000
"Samsung Galaxy J8 (Black, 64 GB)",4,16,3500,64,6,4.4,19500
"Itel S21 (Gold, 16 GB)",1,8,2700,16,5,4.3,5449
"OPPO A83 (2018 Edition) (Red, 64 GB)",4,13,3180,64,5.7,4.3,13990
Nokia N73,42,3,1100,42,2.4,2.1,12999
"Tecno Camon i 2x (Blue, 64 GB)",4,13,3750,64,6.2,4.6,14074
