,product_name,Ram,New_back_camera,battery,Internal_storage,display,rating,no_of_ratings,no_of_reviews,price
250,Asus Zenfo,4,13,3000,32,5.5,4.0,13135,2774,19999
251,Nokia 5.1 ,4,13,3060,64,5.8,4.1,154,10,15290
252,LG Q7+ (Bl,4,16,3000,64,5.5,3.9,8,2,13999
253,Tork T13 B,32,0,1000,32,2.4,4.0,77,8,899
254,Gfive U331,32,0,,64,1.8,3.5,41,2,1149
255,Gfive U331,32,0,,64,1.8,3.5,41,2,1149
256,Gfive U331,32,0,,64,1.8,3.5,41,2,1149
257,Gfive U331,32,0,,64,1.8,3.5,41,2,1149
258,Gfive U331,32,0,,64,1.8,3.5,41,2,1149
259,Gfive U331,32,0,,64,1.8,3.5,41,2,1149
260,Gfive U331,32,0,,64,1.8,3.5,41,2,1149
261,Salora Cor,32,1,1800,32,2.4,3.6,61,13,899
262,Kechaoda K,256,0,,32,1.77,4.0,2417,193,985
263,Ssky S-40 ,32,1,1000,32,1.8,3.7,3,1,749
264,Kechaoda K,256,0,,50,1.44,4.1,3682,404,944
265,OPPO R17 (,8,16,3500,128,6.4,,,,21999
266,OPPO R17 (,8,16,3500,128,6.4,,,,21999
267,Asus Zenfo,3,13,3000,16,5.5,4.1,7604,1105,12999
268,Itel IT 56,32,0,2500,32,2.4,3.9,100,9,1299
269,OPPO A83 (,4,13,3180,64,5.7,4.3,9631,1039,14499
270,Samsung Ga,1.5,8,2100,16,4.8,4.2,13160,1417,22140
271,Nokia 3310 DS,16,2,1200,32,2.4,3.8,25015,2886,3580
272,Jivi N300 New,5,0,1000,32,2.4,3.8,17,1,949
273,Jivi N300 New,5,0,1000,32,2.4,3.8,17,1,1049
274,"Tecno Camon i4 (Nebula Black, 32 GB)",2,13,3500,32,6.2,4.1,155,14,7599
275,Kechaoda K33,32,0,1000,32,1.4,4.1,1776,138,935
276,"OPPO Reno2 Z (Luminous Black, 256 GB)",8,48,4000,256,6.5,4.5,4526,517,29999
277,"Huawei P9 (Titanium Grey, 32 GB)",3,12,3000,32,5.2,4.5,841,273,39999
278,"Motorola Razr (Gold, 128 GB)",6,16,2510,128,6.2,3.9,43,5,124999
279,Micromax X512,56,0,1750,24,1.77,3.9,3075,297,1037
280,"OPPO F5 (Gold, 32 GB)",4,16,3200,32,6,4.4,5713,982,19990
281,"Huawei P9 (Prestige Gold, 32 GB)",3,12,3000,32,5.2,4.5,841,273,39999
282,"Samsung Galaxy M01 (Blue, 32 GB)",3,13,4000,32,5.7,4.3,2361,137,9990
283,Lava A1,4,0,,24,1.77,4.1,10618,1028,949
284,Lava A1,4,0,,24,1.77,4.1,10618,1028,949
285,"Vivo Y15 (Aqua Blue, 64 GB)",4,13,5000,64,6.35,4.4,18543,1332,12900
286,"OPPO F3 (Gold, 64 GB)",4,13,3200,64,5.5,4.3,52318,8815,20990
287,"Motorola Edge+ (Thunder Grey, 256 GB)",12,108,5000,256,6.7,4.2,73,18,74999
288,I Kall K3312 Combo,32,0,1000,64,1.8,3.5,1062,91,1299
289,"Redmi Y2 (Rose Gold, 32 GB)",3,12,3080,32,5.99,4.5,116569,7963,8689
290,"LG G Pro 2 (Titan, 16 GB)",3,13,3200,16,5.9,4.6,244,75,42021
291,Jivi N444,24,1,1750,24,2.1,3.1,7,0,1199
292,Jivi R21Plus,1,0,1000,16,1.8,4.2,5,2,869
293,Gfive U331 Combo of Two,32,0,,64,1.8,3.6,23,1,1149
294,"POCO F1 (Graphite Black, 64 GB)",6,12,4000,64,6.18,4.5,239061,29822,19999
295,"Samsung Galaxy Note 10 (Aura Glow, 256 GB)",8,12,3500,256,6.3,4.5,248,35,75000
296,Blackbear i7 Trio Combo of Three Mobiles,64,1,1550,64,2,,,,4599
297,Itel It 5022,32,0,1000,32,2.4,4.2,244,17,1199
